Episode,Steps,Total Reward,Discounted Reward,Expected Q
348,613,-7986.00699109113,-3688.0657256381255,-130.12684631347656
374,713,-9508.48064578131,-3956.0051056474394,-98.35456848144531
342,717,-9377.89093309987,-3829.082744030606,-109.64264678955078
349,553,-6829.1409369135245,-3378.0297322724114,-116.79500579833984
372,691,-8945.826261742823,-3835.0849570057662,-120.2348403930664
352,722,-9407.048280471525,-3864.349535755796,-176.14300537109375
366,436,-5187.253479915815,-2860.011661711179,-120.37268829345703
379,677,-8725.552487438354,-3676.915159661742,-118.05315399169922
365,560,-7090.169624893743,-3439.043650428353,-118.0599365234375
376,604,-7366.135146661461,-3348.728022743893,-115.63842010498047
394,686,-8817.777328897188,-3791.885969626737,-122.19134521484375
362,658,-8190.442699371126,-3627.1089399653765,-127.22759246826172
377,592,-7051.737240716402,-3229.397156145729,-108.7317123413086
363,660,-8514.574272052563,-3677.991834173086,-111.45304107666016
393,542,-6566.117935768208,-3223.961118779091,-122.50506591796875
373,858,-10922.451403977277,-3865.5289203652455,-134.52883911132812
345,838,-10535.609649016898,-3925.377799270796,-121.5839614868164
389,609,-7451.916920673818,-3387.0299413410307,-124.00910186767578
367,618,-7673.301369342438,-3474.9944273478295,-117.35160827636719
369,644,-8316.014474044136,-3626.1346656708524,-125.1453628540039
368,551,-6787.275630362539,-3285.3465173210334,-113.41068267822266
391,562,-6789.587119728618,-3295.2076671060004,-125.32850646972656
361,637,-7997.419554752612,-3567.8137358500444,-130.87220764160156
384,491,-6072.784294818718,-3173.6206168578024,-122.70683288574219
398,543,-6694.992040717247,-3303.0202193792893,-111.29621887207031
413,452,-5529.998375905764,-3056.0168260509517,-132.17190551757812
378,880,-11367.779281136603,-3959.50875397471,-113.71025085449219
371,749,-9329.62398017528,-3766.073823160851,-131.423583984375
395,685,-8435.81062167193,-3590.14864696046,-131.82362365722656
382,480,-5859.586509168019,-3114.5472024623837,-124.21390533447266
381,594,-7256.482738935642,-3336.5865658246726,-112.8353500366211
385,793,-9951.58965767539,-3783.3451733643765,-126.59320068359375
408,493,-5978.92064145706,-3150.6110834497563,-138.0123291015625
